Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Dell,Notebook,8,2.13,10619.090308798832,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,10060.060439307303,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2.0,10349.204995339194,0,0,100.45466986113652,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,11778.9960831843,0,0,127.33567457123112,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,2.0,10003.839546462832,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others
Dell,Notebook,16,2.8,11144.911042902733,0,0,127.33567457123112,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,10754.345923917312,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,10370.822624347584,0,1,157.3505121487356,Intel Core i3,0,256,Intel,Others
Asus,Notebook,8,1.4,10822.50416581751,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,10512.252623823439,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,11567.92715475193,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,10059.354039524032,0,0,100.45466986113652,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,9409.283029786373,0,0,111.93520355955212,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,10283.659467741663,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3.0,10830.96982484206,0,0,127.33567457123112,Intel Core i7,1000,0,Nvidia,Others
Microsoft,Ultrabook,4,1.252,10968.576149165092,1,0,200.84255993695703,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,10837.272366712863,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,10744.054237880762,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,10974.070668482735,0,0,127.33567457123112,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,2.1,9939.14036985058,0,0,111.93520355955212,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,10830.96982484206,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,10227.464909398024,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,Others
Dell,Notebook,8,2.02,10726.662495168894,0,0,141.21199808219862,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,4,2.2,10248.4380327783,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,2.5,10860.047678274916,0,0,127.33567457123112,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.88,10975.129468486723,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,0.92,11295.425956041105,0,1,226.4155471693585,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,1.63,10732.493415479688,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,2.2,9964.522443121996,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,2.1,9954.446791133256,0,0,100.45466986113652,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,2.65,11182.67988243989,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,1.83,10525.211768465944,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,10370.805929717411,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,11254.189968552817,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,11383.485348791732,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,10525.211768465944,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,2.2,10510.802297245793,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,11063.134731790107,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,11061.462490597743,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,10931.153634628432,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,10717.26172088419,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,10372.32400089118,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Others
Dell,Notebook,4,2.2,10159.709917169615,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Others
Asus,Notebook,6,2.0,10333.403292740233,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,2.62,11105.65953635771,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,1.91,10553.42238395318,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,2.1,9830.63294843456,0,0,141.21199808219862,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,2.2,10447.907320733033,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Others
HP,Ultrabook,8,1.38,10995.75173454406,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,11175.98591917709,1,0,200.84255993695703,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.58,10466.28456073464,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,1.85,10003.598553570957,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,1.3,11059.787448330051,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,2.2,11144.911042902733,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,1.58,11275.358392990294,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,1.5,11116.014069333292,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,1.23,11204.674904025436,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,11219.074000897615,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.63,10557.58616512496,0,1,111.93520355955212,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,1.21,11371.28263483418,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,1.26,11219.066852909238,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.63,10963.974208231726,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.16,11005.825930702713,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,2.0,10310.61527773019,0,0,127.33567457123112,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,1.7,10994.857679947176,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,2.1,10147.26162364305,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,1.8,11690.461589827628,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,10419.692282932576,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Others
HP,Notebook,16,2.5,11123.120297421588,0,0,127.33567457123112,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,2.1,10087.028365734812,0,0,100.45466986113652,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,1.86,9532.389087931673,0,0,100.45466986113652,Other Intel Processor,500,0,Intel,Others
HP,Notebook,8,1.63,10675.061366393813,0,0,157.3505121487356,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,1.65,9603.146168052768,0,0,111.93520355955212,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,2.8,11216.927309554452,0,0,127.33567457123112,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,2.5,10808.592759018331,0,0,127.33567457123112,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.36,10435.449831034946,0,0,100.45466986113652,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,2.2,10082.583913974388,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,1.6,10760.018088869778,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,2.2,10324.70001761193,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,2.05,10369.151780182763,0,0,100.45466986113652,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,1.63,10871.24372398,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,1.9,9506.417665734745,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel,Others
Asus,Gaming,8,3.0,10819.310975238359,0,0,127.33567457123112,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,2.2,10188.167121983652,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Others
HP,Notebook,4,1.32,10525.211768465944,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,3.0,10460.196261867386,0,1,127.33567457123112,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,10993.085090159759,0,1,157.3505121487356,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,2.4,10742.904151497523,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Others
Toshiba,Notebook,4,2.1,10375.818471540955,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,1.86,9886.35767027266,0,0,100.45466986113652,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,1.25,10977.716980635756,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,0.97,11583.439099510642,1,1,352.4651472131677,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,4,2.0,9816.202683605532,0,0,141.21199808219862,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.9,11590.859366057948,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,10078.119620845704,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,2.56,11105.867681227292,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,2.62,10776.844060703754,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,10186.161103256787,0,0,100.45466986113652,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,2.8,11519.89313428582,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,1.48,10962.127485638559,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.91,10403.666298916727,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,10419.692282932576,1,1,157.3505121487356,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,11157.152970844001,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,10931.153634628432,1,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,2.1,10078.119620845704,0,0,100.45466986113652,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,2.03,9974.497588178816,0,0,100.45466986113652,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,4,3.0,10666.403303650697,0,1,127.33567457123112,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.13,10565.86207442882,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,2.5,10959.350991490268,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,9827.763506006608,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.4,11470.547260182666,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,9871.367833143675,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,8,2.56,10942.047370678032,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,8,3.0,10725.492220020706,0,1,127.33567457123112,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,1.49,10600.95339424009,0,1,165.6321180513006,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,1.05,11182.67988243989,0,1,199.69207064108247,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,2.71,10525.211768465944,0,1,127.33567457123112,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,2.2,9708.90230312988,0,0,100.45466986113652,AMD Processor,500,0,AMD,Others
Toshiba,Notebook,4,2.0,10167.923515707005,0,0,100.45466986113652,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,2.5,10803.190260734986,0,0,127.33567457123112,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.3,10104.611236292678,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,2.1,10082.583913974388,0,0,100.45466986113652,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,4.4,11912.57851574759,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,8,1.9,10676.292135779944,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,8,1.29,11288.114524334733,1,1,331.2642361026012,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.02,10931.153634628432,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,Others
Dell,Ultrabook,8,1.23,11219.074000897615,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,11497.96125761926,1,1,316.96506044349616,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2.0,10651.384247866983,0,0,100.45466986113652,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,1.95,11064.804181259648,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others
Dell,Notebook,16,2.77,11320.925866649002,1,0,127.33567457123112,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,2.06,11757.534260666516,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,2.4,10633.572072102885,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others
Acer,Ultrabook,8,1.12,10872.255357854843,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.8,10964.896292206693,0,0,127.33567457123112,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,11921.470624845266,1,0,209.8006828649808,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,1.3,9536.242657247662,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,10883.216300213937,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia,Others
Lenovo,Notebook,8,2.8,10523.780128994506,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia,Others
Dell,2 in 1 Convertible,8,1.62,10707.77173269934,1,1,165.6321180513006,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,2.5,10793.391597686285,0,1,127.33567457123112,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,3.49,12691.44112852859,1,0,254.67134914246225,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,1.49,10841.452101115572,0,0,165.6321180513006,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,3.35,11204.674904025436,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,2.5,10927.333190631045,0,0,127.33567457123112,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,2.65,11495.795582706762,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,2.1,10176.070200274824,0,0,100.45466986113652,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,2.23,10584.910269399517,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,11442.360501250736,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,2.8,12000.095897837828,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,16,2.4,11218.35894902589,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Others
Dell,Notebook,6,2.3,10060.060439307303,1,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,1.21,11550.632725739695,1,1,331.2642361026012,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,1.2,11254.189968552817,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,2.2,10367.478139624736,0,0,100.45466986113652,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,2.4,10633.572072102885,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others
Asus,Gaming,16,2.9,11224.776083346525,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,2.1,9830.63294843456,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others
Lenovo,Notebook,8,2.2,10283.659467741663,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others
Huawei,Ultrabook,8,1.05,11288.114524334733,0,1,199.69207064108247,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,10812.765077263237,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,10353.987209883719,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Others
HP,Notebook,8,1.63,10913.845510249092,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,11022.20830408089,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,11129.394827810976,1,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,10493.74915225888,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Others
Lenovo,2 in 1 Convertible,8,1.74,10776.844060703754,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,11193.004457928666,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,10652.64448747927,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,4.42,11781.988742399806,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,8,2.2,10699.393467053342,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,2.3,10731.341589592168,1,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,2.0,10620.651995737775,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,10767.905453702944,0,0,127.33567457123112,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,8,1.9,11121.54549394652,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,9964.497380151284,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,9774.65368069266,0,0,100.45466986113652,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,11288.114524334733,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,8,1.6,10731.32994821639,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,10510.802297245793,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,10776.844060703754,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others
Acer,Notebook,4,2.1,9941.707765355826,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Others
Asus,Notebook,4,2.2,10329.931067029484,0,0,141.21199808219862,AMD Processor,1000,128,AMD,Windows
Asus,Gaming,32,4.7,12241.725462844624,0,0,127.33567457123112,Intel Core i7,1000,512,Nvidia,Windows
Acer,Gaming,8,2.5,10716.080385838357,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,10353.987209883719,0,0,100.45466986113652,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,2.1,11018.720942220474,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia,Windows
Asus,Notebook,8,2.69,10765.658261746039,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia,Others
Dell,Gaming,8,2.56,10754.345923917312,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
